COLS = ['student_id', 'hs_gpa', 'hs_clubs', 'hs_sports', 'hs_attendance', 'hs_pop_density', 'need_based_aid', 'ug_gpa', 'internships', 'logins_per_week', 'time_on_task_hrs', 'submission_rate', 'course_score', 'success']
RAW = [
    (1001, 2.87, 3, 1, 0.915, 3703, 0, 2.99, 0, None, None, '', 85.8, 1),
    (1002, 2.2, 1, 1, 0.866, 4851, 1, 2.48, 0, 0.8, 2.5, '69%', 57.1, 0),
    (1003, 2.72, 2, 0, 0.948, 4341, 1, 3.02, 0, 3.4, 1.8, '84%', 75.5, 1),
    (1004, 2.05, 1, 0, 0.887, 4034, 0, 1.81, 1, None, None, '', 60.8, 0),
    (1005, 2.27, 1, 1, 0.886, 3942, 1, 3.08, 0, 0.6, 1.9, '72%', 69.9, 0),
    (1006, 1.51, 1, 1, 0.874, 3846, 1, 2.18, 0, 0.5, 1.8, '72%', 66.1, 0),
    (1007, 2.23, 2, 0, 0.921, 4268, 1, 2.09, 0, 1.0, 3.5, '64%', 60.8, 0),
    (1008, 2.61, 2, 0, 1.4, 4171, 0, 3.3, 0, 3.0, 3.4, '85%', 64.9, 1),
    (1009, 2.44, 3, 0, 0.959, 4712, 0, 2.82, 0, 4.3, 5.2, '87%', 72.3, 1),
    (1010, 1.5, 1, 0, 0.849, 5577, 1, 1.71, 0, 0.6, 3.4, '73%', 50.2, 0),
    (1011, 1.91, 1, 0, 0.896, 3518, 1, 2.43, 0, 2.4, 3.5, '78%', 65.4, 0),
    (1012, 1.93, 1, 0, 0.911, 2185, 1, 1.85, 1, 1.6, 3.0, '75%', 70.0, 1),
    (1013, 1.5, 0, 1, 0.851, 2454, 0, 1.63, 0, None, None, '', 50.8, 0),
    (1014, 2.58, 1, 1, 0.93, 3005, 0, 2.84, 0, 4.2, 5.0, '79%', 82.0, 1),
    (1015, 2.2, 3, 1, 0.976, 4868, 1, 3.11, 0, 4.4, 5.1, '91%', 66.4, 1),
    (1016, 3.0, 3, 1, 0.974, 2851, 0, 2.83, 2, 5.2, 6.0, '94%', 79.8, 1),
    (1017, 2.21, 1, 0, 0.914, 2042, 0, 1.99, 1, 0.9, 2.1, '72%', 70.0, 1),
    (1018, 2.63, 3, 1, 0.986, 3879, 0, 2.81, 1, None, None, '', 76.3, 1),
    (1019, 3.19, 4, 1, 0.844, 4411, 0, 3.13, 0, 1.7, 2.7, '77%', 63.4, 1),
    (1020, 2.08, 2, 0, 0.884, 5498, 1, 2.61, 0, 2.7, 4.2, '69%', 57.8, 0),
    (1021, 2.96, 3, 1, 0.847, 3408, 1, 4.0, 0, 2.7, 2.7, '77%', 73.7, 1),
    (1022, 2.66, 4, 0, 0.795, 3440, 1, 2.92, 0, 0.7, 0.0, '59%', 53.5, 0),
    (1023, 2.6, 2, 0, 0.835, 4462, 1, 2.67, 0, 0.8, 1.0, '67%', 58.1, 0),
    (1024, 3.44, 3, 1, 0.95, 2966, 0, 2.8, 2, 4.4, 6.6, '99%', 91.9, 1),
    (1025, 3.41, 3, 1, 0.975, 5021, 1, 3.25, 0, 3.9, 3.0, '93%', 65.1, 1),
    (1026, 2.79, 4, 0, 0.926, 4905, 1, 2.81, 1, 3.4, 4.3, '74%', 72.4, 1),
    (1027, 2.0, 2, 0, 0.888, 3393, 0, 1.78, 0, None, None, '', 58.4, 0),
    (1028, 2.89, 3, 0, 0.904, 3721, 1, 3.15, 0, 2.8, 3.1, '80%', 71.8, 1),
    (1029, 3.2, 3, 0, 0.915, 4579, 1, 2.98, 0, 3.6, 5.3, '86%', 75.2, 1),
    (1030, 3.37, 3, 1, 0.989, 2653, 0, 3.23, 1, 5.2, 5.2, '92%', 86.5, 1),
    (1031, 2.11, 2, 1, 0.878, 2997, 0, 2.66, 0, 0.6, 2.6, '68%', 60.4, 0),
    (1032, 2.35, 2, 1, 0.865, 3633, 1, 2.67, 0, 3.2, 2.4, '84%', 65.1, 1),
    (1033, 1.5, 0, 0, 0.937, 2181, 1, 2.63, 1, 3.2, 1.5, '86%', 70.4, 1),
    (1034, 2.79, 2, 1, 0.923, 3505, 1, 2.71, 0, 3.3, 5.1, '91%', 69.2, 1),
